homeTitle|Free Temp Mail & Disposable Email — HaruMail|無料の使い捨てメール・捨てメアド — HaruMail|Correo temporal gratis y desechable — HaruMail|Email temporário grátis e descartável — HaruMail|Email temporaire gratuit et jetable — HaruMail|Kostenlose Wegwerf-E-Mail & Temp Mail — HaruMail
guidePhishingBody|HaruMail does not load remote message images or execute message scripts. This reduces automatic requests caused by opening email, but it cannot make an untrusted message safe. A sender’s display name can be misleading. Check the actual domain and the message you expected before copying a link or a verification code. Never send an unexpected correspondent your password or a recovery code.|HaruMailはメール内の外部画像やスクリプトを読み込みません。閲覧だけで外部へアクセスする動作を減らせますが、不審なメールを安全にするものではありません。差出人の表示名は信用できるとは限りません。リンクや認証コードをコピーする前に、実際のドメインと待っていた内容を確認してください。知らない相手にパスワードや復旧コードを送らないでください。|HaruMail no carga imágenes remotas ni ejecuta scripts de los mensajes. Esto reduce solicitudes automáticas al abrirlos, pero no hace seguro un correo sospechoso. El nombre del remitente puede engañar. Revisa el dominio real y el mensaje esperado antes de copiar enlaces o códigos. Nunca entregues contraseñas ni códigos de recuperación a un contacto inesperado.|O HaruMail não carrega imagens externas nem executa scripts das mensagens. Isso reduz requisições automáticas ao abrir emails, mas não torna uma mensagem suspeita segura. O nome do remetente pode enganar. Confira o domínio real e a mensagem esperada antes de copiar links ou códigos. Nunca entregue senhas ou códigos de recuperação a contatos inesperados.|HaruMail ne charge pas les images distantes et n’exécute pas les scripts des messages. Cela réduit les requêtes automatiques à l’ouverture, mais ne rend pas sûr un message suspect. Le nom affiché de l’expéditeur peut tromper. Vérifiez le domaine réel et le message attendu avant de copier un lien ou un code. Ne transmettez jamais de mot de passe ou de code de récupération à un contact inattendu.|HaruMail lädt keine externen Nachrichtenbilder und führt keine Nachrichtenskripte aus. Das verringert automatische Anfragen beim Öffnen, macht verdächtige Nachrichten aber nicht sicher. Der angezeigte Absendername kann täuschen. Prüfe die tatsächliche Domain und den erwarteten Inhalt, bevor du Links oder Codes kopierst. Gib unerwarteten Kontakten niemals Passwörter oder Wiederherstellungscodes.
guidePhishingNext|If a message asks you to sign in or pay, open the service through a bookmark or a known address instead of following the email. Do not publish screenshots containing inbox addresses, private links, or verification codes. Closing a temporary inbox cannot undo a disclosure that has already happened.|ログインや支払いを求められた場合は、メールのリンクではなく、ブックマークや既知のアドレスからサービスを開いてください。メールアドレス、非公開リンク、認証コードが写った画面を公開しないでください。メールボックスを閉じても、すでに漏れた情報を取り戻すことはできません。|Si un mensaje pide iniciar sesión o pagar, abre el servicio desde un marcador o una dirección conocida. No publiques capturas con direcciones, enlaces privados o códigos. Cerrar un buzón temporal no revierte una divulgación ya ocurrida.|Se a mensagem pedir login ou pagamento, abra o serviço por um favorito ou endereço conhecido. Não publique capturas com endereços, links privados ou códigos. Fechar a caixa temporária não desfaz uma divulgação já ocorrida.|Si un message demande une connexion ou un paiement, ouvrez le service depuis un favori ou une adresse connue. Ne publiez pas de captures avec adresses, liens privés ou codes. Fermer une boîte temporaire n’annule pas une divulgation déjà survenue.|Wenn eine Nachricht Anmeldung oder Zahlung verlangt, öffne den Dienst über ein Lesezeichen oder eine bekannte Adresse. Veröffentliche keine Screenshots mit Postfachadressen, privaten Links oder Codes. Ein geschlossenes Postfach macht eine bereits erfolgte Offenlegung nicht rückgängig.
aboutDescription|Meet HaruMail, a free receiving-only temporary inbox with clear limits and practical email guides.|無料・受信専用の一時メールHaruMailの目的、機能と利用上の制限をご紹介します。|Conoce HaruMail, un buzón temporal gratuito de solo recepción, con límites claros y guías prácticas.|Conheça o HaruMail, uma caixa temporária grátis somente para recebimento, com limites claros e guias práticos.|Découvrez HaruMail, une boîte temporaire gratuite dédiée à la réception, avec des limites claires et des guides pratiques.|Lerne HaruMail kennen: ein kostenloses temporäres Empfangspostfach mit klaren Grenzen und praktischen Anleitungen.
aboutBody|HaruMail helps you receive short-term messages without handing out your everyday email address. The service is available in multiple languages and uses the same mailbox across language pages in the same browser. We explain what the service actually does: random address creation, received-message lists, and readable text for a limited period. It is not a permanent account or an anonymous encrypted mailbox.|HaruMailは、普段のアドレスを知らせずに短期的なメールを受け取るためのサービスです。複数言語に対応し、同じブラウザーなら言語を切り替えても同じメールボックスを使います。ランダムなアドレス作成、受信一覧、期限付きのテキスト閲覧という実際の機能を説明します。永続アカウントや匿名の暗号化メールではありません。|HaruMail te ayuda a recibir mensajes puntuales sin dar tu dirección habitual. Está disponible en varios idiomas y mantiene el mismo buzón al cambiar de idioma en el mismo navegador. Explicamos sus funciones reales: dirección aleatoria, lista de mensajes y lectura de texto por tiempo limitado. No es una cuenta permanente ni un buzón cifrado anónimo.|O HaruMail ajuda a receber mensagens pontuais sem fornecer seu endereço principal. Está disponível em vários idiomas e mantém a mesma caixa ao trocar o idioma no mesmo navegador. Explicamos suas funções reais: endereço aleatório, lista de mensagens e leitura de texto por tempo limitado. Não é uma conta permanente nem uma caixa criptografada anônima.|HaruMail permet de recevoir des messages ponctuels sans donner votre adresse habituelle. Le service existe en plusieurs langues et conserve la même boîte lors d’un changement de langue dans le même navigateur. Ses fonctions sont la création d’une adresse aléatoire, la liste des messages et la lecture du texte pendant une durée limitée. Ce n’est ni un compte permanent ni une boîte chiffrée anonyme.|HaruMail hilft dir, kurzfristige Nachrichten ohne Angabe deiner Hauptadresse zu empfangen. Der Dienst ist mehrsprachig; beim Sprachwechsel im selben Browser bleibt dasselbe Postfach erhalten. Die Funktionen sind zufällige Adresserstellung, Nachrichtenliste und zeitlich begrenzte Textansicht. Es ist weder ein dauerhaftes Konto noch ein anonymes verschlüsseltes Postfach.
contactDescription|Find troubleshooting steps and the information useful for reporting a HaruMail delivery or display problem.|HaruMailの受信・表示の問題を調べる手順と、問い合わせ時に役立つ情報をご案内します。|Consulta cómo resolver problemas y qué información ayuda a comunicar un error de entrega o visualización.|Veja etapas de diagnóstico e informações úteis para relatar problemas de recebimento ou exibição.|Consultez les vérifications et les informations utiles pour signaler un problème de réception ou d’affichage.|Hier findest du Prüfschritte und hilfreiche Angaben für die Meldung von Empfangs- oder Anzeigeproblemen.
contactBody|For missing messages, start with the delivery checklist. For other problems, note the date, time zone, browser, error text, and the step that failed. Do not share passwords, cookies, message bodies, or verification codes in a public report. Restrictions imposed by another website must be addressed with that website.|未着メールについては、まず受信確認ガイドを参照してください。その他の問題では、日時・タイムゾーン・ブラウザー・エラー文・発生した手順を記録してください。パスワード、Cookie、本文、認証コードを公開の報告に含めないでください。他サイトの利用制限はそのサイトで確認してください。|Si faltan mensajes, empieza por la guía de recepción. Para otros errores, anota fecha, zona horaria, navegador, texto del error y paso afectado. No compartas contraseñas, cookies, contenidos ni códigos en informes públicos. Las restricciones de otra web deben consultarse con esa web.|Para mensagens ausentes, comece pelo guia de recebimento. Para outros erros, anote data, fuso horário, navegador, mensagem de erro e etapa afetada. Não compartilhe senhas, cookies, conteúdo de emails ou códigos em relatos públicos. Restrições de outros sites devem ser tratadas com esses sites.|Pour les messages manquants, commencez par le guide de réception. Pour les autres problèmes, notez date, fuseau horaire, navigateur, erreur et étape concernée. Ne partagez pas mots de passe, cookies, contenus ou codes dans un signalement public. Les restrictions d’un autre site doivent être traitées avec ce site.|Beginne bei fehlenden Nachrichten mit der Empfangsprüfliste. Notiere bei anderen Fehlern Datum, Zeitzone, Browser, Fehlermeldung und betroffenen Schritt. Teile in öffentlichen Meldungen keine Passwörter, Cookies, Nachrichteninhalte oder Codes. Beschränkungen anderer Websites müssen dort geklärt werden.
contactPending|A private support contact has not yet been published. Do not post personal information publicly. You can use the guides and FAQ while the contact channel is being prepared.|非公開の問い合わせ先はまだ公開されていません。個人情報を公開しないでください。窓口の準備中はガイドとFAQをご利用いただけます。|Todavía no se ha publicado un contacto privado de soporte. No publiques información personal. Mientras se prepara el canal, consulta las guías y preguntas frecuentes.|Um contato privado de suporte ainda não foi publicado. Não divulgue dados pessoais. Enquanto o canal é preparado, consulte os guias e perguntas frequentes.|Aucun contact privé d’assistance n’est encore publié. Ne diffusez pas d’informations personnelles. Les guides et la FAQ restent disponibles pendant sa préparation.|Ein privater Supportkontakt wurde noch nicht veröffentlicht. Poste keine personenbezogenen Daten öffentlich. Bis der Kontaktkanal bereitsteht, helfen Anleitungen und FAQ.
privacyDescription|How HaruMail processes incoming messages, access cookies, provider data, retention, and privacy requests.|HaruMailの受信メール、アクセスCookie、提供事業者、保存と問い合わせの取り扱いをご案内します。|Cómo trata HaruMail los mensajes, cookies de acceso, proveedores, conservación y solicitudes de privacidad.|Como o HaruMail trata mensagens, cookies de acesso, provedores, retenção e solicitações de privacidade.|Comment HaruMail traite messages, cookies d’accès, prestataires, conservation et demandes de confidentialité.|So verarbeitet HaruMail Nachrichten, Zugriffscookies, Anbieterdaten, Speicherung und Datenschutzanfragen.
privacyDataTitle|Data processed|処理する情報|Datos tratados|Dados tratados|Données traitées|Verarbeitete Daten
privacyDataBody|We process the generated recipient address, sender, subject, readable body, and received time to display incoming messages. A signed access cookie contains the mailbox address and its creation and expiry times. Hosting and security systems may process IP addresses, request times, browser information, and error logs. No name, phone number, or payment details are required to create an inbox, but information included by a sender is still processed.|メール表示のため、作成した宛先、差出人、件名、読める本文、受信時刻を処理します。署名付きアクセスCookieにはアドレス、作成時刻、期限が入ります。ホスティングや保護システムはIP、リクエスト時刻、ブラウザー情報、エラーログを処理する場合があります。作成に氏名・電話番号・決済情報は不要ですが、送信者が本文に含めた情報は処理されます。|Tratamos dirección receptora, remitente, asunto, texto y hora para mostrar mensajes. Una cookie firmada contiene la dirección y las fechas de creación y caducidad. Los sistemas de alojamiento y seguridad pueden tratar IP, horas de solicitud, navegador y errores. No se exige nombre, teléfono ni datos de pago, pero sí se procesa la información incluida por el remitente.|Tratamos endereço de destino, remetente, assunto, texto e horário para exibir mensagens. Um cookie assinado contém o endereço e os horários de criação e expiração. Sistemas de hospedagem e segurança podem tratar IP, horários de requisição, navegador e erros. Nome, telefone e pagamento não são exigidos, mas informações incluídas pelo remetente são processadas.|Nous traitons adresse destinataire, expéditeur, objet, texte et heure pour afficher les messages. Un cookie signé contient l’adresse et les dates de création et d’expiration. Les systèmes d’hébergement et de sécurité peuvent traiter IP, heures des requêtes, navigateur et erreurs. Aucun nom, téléphone ou paiement n’est exigé, mais les informations ajoutées par l’expéditeur sont traitées.|Zur Anzeige verarbeiten wir Empfängeradresse, Absender, Betreff, lesbaren Text und Empfangszeit. Ein signiertes Cookie enthält Adresse sowie Erstellungs- und Ablaufzeit. Hosting- und Schutzsysteme können IP-Adressen, Anfragezeiten, Browserinformationen und Fehlerprotokolle verarbeiten. Name, Telefon und Zahlungsdaten sind nicht erforderlich; Angaben des Absenders werden dennoch verarbeitet.
privacyRetentionTitle|Access period and storage|利用期限と保存|Plazo de acceso y conservación|Prazo de acesso e retenção|Durée d’accès et conservation|Zugriffszeit und Speicherung
privacyRetentionBody|Browser access expires 24 hours after creation. Closing the inbox or creating another address clears this browser’s previous access information; copies of a valid access token may remain usable until their expiry. This does not delete stored messages or sender copies immediately. In the current deployment, received-message records are stored in Supabase. No automatic 24-hour deletion job is configured for those records, so storage can outlast browser access. Provider logs and backups follow their actual settings and policies.|ブラウザーからのアクセスは作成後24時間で失効します。閉じる操作や新規作成で、このブラウザーの以前のアクセス情報を消しますが、有効なトークンのコピーは期限まで使える場合があります。保存メールや送信者のコピーは直ちに削除されません。現在は受信記録をSupabaseに保存し、24時間後の自動削除処理は設定されていないため、アクセス期限より長く残ることがあります。事業者のログとバックアップは実際の設定・方針に従います。|El acceso caduca 24 horas tras la creación. Cerrar o cambiar el buzón elimina el acceso previo de este navegador; las copias válidas del token pueden servir hasta su vencimiento. Esto no borra inmediatamente mensajes ni copias del remitente. Actualmente se guardan registros en Supabase y no hay una tarea configurada para borrarlos automáticamente a las 24 horas. Pueden conservarse más que el acceso. Los registros y copias de seguridad del proveedor siguen sus ajustes y políticas.|O acesso expira 24 horas após a criação. Fechar ou trocar a caixa remove o acesso anterior deste navegador; cópias válidas do token podem funcionar até expirarem. Isso não apaga imediatamente mensagens nem cópias do remetente. Atualmente os registros ficam no Supabase e não há tarefa configurada para excluí-los automaticamente após 24 horas. Podem permanecer além do prazo de acesso. Logs e backups seguem as configurações e políticas dos provedores.|L’accès expire 24 heures après création. Fermer ou remplacer la boîte efface l’ancien accès de ce navigateur ; les copies valides du jeton peuvent fonctionner jusqu’à leur expiration. Cela ne supprime pas immédiatement les messages ni les copies de l’expéditeur. Les messages sont actuellement stockés dans Supabase, sans tâche de suppression automatique après 24 heures. Ils peuvent donc rester au-delà de l’accès. Journaux et sauvegardes suivent les réglages et politiques des prestataires.|Der Browserzugriff endet 24 Stunden nach Erstellung. Schließen oder Ersetzen löscht den bisherigen Zugriff dieses Browsers; gültige Tokenkopien können bis zum Ablauf nutzbar bleiben. Gespeicherte Nachrichten und Absenderkopien werden dadurch nicht sofort gelöscht. Empfangsdaten liegen derzeit in Supabase. Eine automatische Löschung nach 24 Stunden ist nicht eingerichtet, daher kann die Speicherung länger dauern als der Zugriff. Anbieterprotokolle und Backups folgen den jeweiligen Einstellungen und Richtlinien.
privacyProvidersTitle|Providers and browser cookies|提供事業者とCookie|Proveedores y cookies|Provedores e cookies|Prestataires et cookies|Anbieter und Cookies
privacyProvidersBody|The current website uses Vercel for hosting, Cloudflare Email Routing and a Worker for incoming mail, and Supabase for message storage. Data may be processed outside your country. The essential xtmail_session cookie uses Secure, HttpOnly, and SameSite=Strict over HTTPS. Tabs and language pages in the same browser share it; other devices do not. Removing it loses inbox access. The service is not end-to-end encrypted.|現在はVercelでサイトを配信し、Cloudflare Email RoutingとWorkerで受信、Supabaseで保存しています。データが居住国外で処理される場合があります。機能に必要なxtmail_session CookieはHTTPSでSecure、HttpOnly、SameSite=Strictを使います。同じブラウザーのタブや言語ページで共有しますが、別端末では共有しません。削除するとアクセスを失います。エンドツーエンド暗号化は提供していません。|La web usa Vercel para alojamiento, Cloudflare Email Routing y un Worker para recepción, y Supabase para almacenamiento. Los datos pueden tratarse fuera de tu país. La cookie esencial xtmail_session usa Secure, HttpOnly y SameSite=Strict sobre HTTPS. La comparten las pestañas e idiomas del mismo navegador, no otros dispositivos. Borrarla elimina el acceso. No hay cifrado de extremo a extremo.|O site usa Vercel para hospedagem, Cloudflare Email Routing e um Worker para recebimento, e Supabase para armazenamento. Os dados podem ser tratados fora do seu país. O cookie essencial xtmail_session usa Secure, HttpOnly e SameSite=Strict em HTTPS. Abas e idiomas do mesmo navegador compartilham o cookie, outros dispositivos não. Apagá-lo remove o acesso. Não há criptografia de ponta a ponta.|Le site utilise Vercel pour l’hébergement, Cloudflare Email Routing et un Worker pour la réception, et Supabase pour le stockage. Les données peuvent être traitées hors de votre pays. Le cookie essentiel xtmail_session utilise Secure, HttpOnly et SameSite=Strict en HTTPS. Les onglets et langues du même navigateur le partagent, pas les autres appareils. Sa suppression fait perdre l’accès. Il n’y a pas de chiffrement de bout en bout.|Die Website nutzt Vercel als Hosting, Cloudflare Email Routing und einen Worker für den Empfang sowie Supabase zur Speicherung. Daten können außerhalb deines Landes verarbeitet werden. Das notwendige Cookie xtmail_session nutzt über HTTPS Secure, HttpOnly und SameSite=Strict. Tabs und Sprachseiten desselben Browsers teilen es, andere Geräte nicht. Löschen beendet den Zugriff. Es besteht keine Ende-zu-Ende-Verschlüsselung.
privacyAdsTitle|Advertising and requests|広告と問い合わせ|Publicidad y solicitudes|Publicidade e solicitações|Publicité et demandes|Werbung und Anfragen
privacyAdsBody|Advertising scripts are currently disabled. Inbox contents and verification codes are not sent to Google for advertising. If advertising is introduced, this notice and applicable consent controls must be updated first. For access or deletion requests, use the private support channel listed on the contact page. Do not post sensitive information publicly. An email address alone does not prove past ownership or allow mailbox recovery.|現在、広告スクリプトは無効です。受信内容や認証コードを広告目的でGoogleに送りません。広告を導入する際は、先にこの案内と必要な同意機能を更新します。開示・削除の相談には、問い合わせページに記載した非公開の窓口をご利用ください。機密情報を公開しないでください。アドレスだけでは過去の所有を証明できず、メールボックスの復旧もできません。|Los scripts publicitarios están desactivados. No enviamos contenidos ni códigos a Google para publicidad. Antes de introducir anuncios deben actualizarse este aviso y los controles de consentimiento aplicables. Para acceso o eliminación, usa el canal privado indicado en la página de contacto. No publiques información sensible. La dirección sola no demuestra la titularidad pasada ni recupera el buzón.|Scripts de publicidade estão desativados. Conteúdos e códigos não são enviados ao Google para anúncios. Antes de introduzir publicidade, este aviso e os controles de consentimento aplicáveis devem ser atualizados. Para acesso ou exclusão, use o canal privado indicado na página de contato. Não exponha informações sensíveis. Só o endereço não prova titularidade passada nem recupera a caixa.|Les scripts publicitaires sont désactivés. Les contenus et codes ne sont pas envoyés à Google à des fins publicitaires. Avant l’ajout d’annonces, cette notice et les choix de consentement applicables devront être mis à jour. Pour l’accès ou l’effacement, utilisez le canal privé indiqué sur la page de contact. Ne diffusez pas de données sensibles. L’adresse seule ne prouve pas l’ancienne propriété et ne restaure pas la boîte.|Werbeskripte sind derzeit deaktiviert. Postfachinhalte und Codes werden nicht für Werbung an Google gesendet. Vor Einführung von Werbung müssen diese Hinweise und erforderliche Einwilligungsfunktionen aktualisiert werden. Nutze für Auskunft oder Löschung den privaten Kontakt auf der Kontaktseite. Poste keine sensiblen Daten. Die Adresse allein belegt keine frühere Inhaberschaft und stellt das Postfach nicht wieder her.
termsDescription|The permitted uses, time limits, service boundaries, and responsibilities for HaruMail’s free temporary inbox.|HaruMail無料一時メールの利用範囲、期限、制限、利用者の責任をご説明します。|Usos permitidos, plazos, límites y responsabilidades del buzón temporal gratuito de HaruMail.|Usos permitidos, prazos, limites e responsabilidades da caixa temporária grátis do HaruMail.|Usages autorisés, délais, limites et responsabilités de la boîte temporaire gratuite HaruMail.|Erlaubte Nutzung, Fristen, Leistungsgrenzen und Verantwortung beim kostenlosen temporären HaruMail-Postfach.
termsBody|Use HaruMail only for lawful mail you are authorized to receive and follow the rules of the services you use. Impersonation, phishing, unauthorized access, attacks, excessive automated requests, and deceptive abuse of account or promotion limits are prohibited. Use synthetic data for testing. Do not use a temporary inbox as your only recovery method for an important account.|受信権限のある適法なメールにのみ利用し、利用先サービスの規則も守ってください。なりすまし、フィッシング、不正アクセス、攻撃、過剰な自動リクエスト、アカウントや特典の制限を欺く利用は禁止します。テストには架空のデータを使い、重要なアカウントの唯一の復旧手段にしないでください。|Usa HaruMail solo para correo legal que estés autorizado a recibir y respeta las reglas de los servicios. Se prohíben suplantación, phishing, acceso no autorizado, ataques, automatización excesiva y abuso engañoso de límites de cuentas o promociones. Usa datos ficticios para pruebas. No lo uses como único método de recuperación de una cuenta importante.|Use o HaruMail apenas para mensagens legais que você tenha autorização para receber e respeite as regras dos serviços. São proibidos falsidade de identidade, phishing, acesso indevido, ataques, automação excessiva e abuso enganoso de limites de contas ou promoções. Use dados fictícios nos testes. Não use a caixa como único meio de recuperação de uma conta importante.|Utilisez HaruMail uniquement pour des messages licites que vous êtes autorisé à recevoir et respectez les règles des services utilisés. Usurpation, hameçonnage, accès non autorisé, attaques, automatisation excessive et abus trompeurs des limites de comptes ou promotions sont interdits. Utilisez des données fictives pour les tests. Ne faites pas de cette boîte le seul moyen de récupérer un compte important.|Nutze HaruMail nur für rechtmäßige Nachrichten, die du empfangen darfst, und beachte die Regeln anderer Dienste. Identitätstäuschung, Phishing, unbefugter Zugriff, Angriffe, übermäßige automatisierte Anfragen und täuschender Missbrauch von Konto- oder Aktionslimits sind verboten. Nutze synthetische Testdaten. Verwende das Postfach nicht als einzige Wiederherstellungsmöglichkeit eines wichtigen Kontos.
termsLimits|Mail delivery, uninterrupted access, a specific response time, and acceptance by every website are not guaranteed. Provider outages, capacity limits, domain changes, or abuse may restrict the service. Do not redistribute messages without the rights to do so. Data processing follows the privacy notice. These terms do not remove rights granted by applicable law.|メール到達、無停止のアクセス、特定の応答時間、すべてのサイトでの利用を保証しません。事業者の障害、容量、ドメイン変更、不正利用で制限する場合があります。権利のないメールを再配布しないでください。情報処理はプライバシー案内に従い、適用法が認める権利を制限するものではありません。|No se garantizan entrega, acceso ininterrumpido, tiempos concretos ni aceptación universal. Fallos, capacidad, cambios de dominio o abusos pueden limitar el servicio. No redistribuyas mensajes sin derecho. El tratamiento sigue el aviso de privacidad. Estas condiciones no eliminan derechos de la legislación aplicable.|Não são garantidos entrega, acesso ininterrupto, tempo de resposta específico ou aceitação universal. Falhas, capacidade, alterações de domínio ou abusos podem limitar o serviço. Não redistribua mensagens sem direito. O tratamento segue o aviso de privacidade. Estes termos não removem direitos previstos na lei aplicável.|La livraison, l’accès sans interruption, un délai précis et l’acceptation par tous les sites ne sont pas garantis. Pannes, capacités, changements de domaine ou abus peuvent limiter le service. Ne redistribuez pas de messages sans en avoir les droits. Le traitement suit la notice de confidentialité. Ces conditions ne retirent pas les droits prévus par la loi applicable.|Zustellung, unterbrechungsfreier Zugriff, bestimmte Antwortzeiten und Annahme durch jede Website werden nicht garantiert. Ausfälle, Kapazitätsgrenzen, Domainänderungen oder Missbrauch können den Dienst einschränken. Verbreite Nachrichten nicht ohne entsprechende Rechte weiter. Die Datenverarbeitung folgt den Datenschutzhinweisen. Gesetzliche Rechte bleiben unberührt.
updated|Updated September 7, 2026|更新日：2026年9月7日|Actualizado el 7 de septiembre de 2026|Atualizado em 7 de setembro de 2026|Mise à jour le 7 septembre 2026|Aktualisiert am 7. September 2026
